asdf,
df,
asdf,
asdf,
asdf,
asdf,
asdf,
X,y=sin_x
0,-0.08660254
0.003921569,-0.08534438
0.007843137,-0.084034407
0.011764706,-0.082673417
0.015686275,-0.081262237
0.019607843,-0.079801723
0.023529412,-0.078292761
0.02745098,-0.076736268
0.031372549,-0.075133189
0.035294118,-0.073484497
0.039215686,-0.071791192
0.043137255,-0.070054304
0.047058824,-0.068274886
0.050980392,-0.066454018
0.054901961,-0.064592806
0.058823529,-0.062692381
0.062745098,-0.060753895
0.066666667,-0.058778525
0.070588235,-0.056767472
0.074509804,-0.054721955
0.078431373,-0.052643216
0.082352941,-0.050532518
0.08627451,-0.048391142
0.090196078,-0.046220388
0.094117647,-0.044021574
0.098039216,-0.041796034
0.101960784,-0.039545121
0.105882353,-0.037270199
0.109803922,-0.034972651
0.11372549,-0.032653871
0.117647059,-0.030315267
0.121568627,-0.027958259
0.125490196,-0.025584278
0.129411765,-0.023194764
0.133333333,-0.020791169
0.137254902,-0.018374952
0.141176471,-0.015947579
0.145098039,-0.013510525
0.149019608,-0.011065268
0.152941176,-0.008613294
0.156862745,-0.006156091
0.160784314,-0.00369515
0.164705882,-0.001231966
0.168627451,0.001231966
0.17254902,0.00369515
0.176470588,0.006156091
0.180392157,0.008613294
0.184313725,0.011065268
0.188235294,0.013510525
0.192156863,0.015947579
0.196078431,0.018374952
0.2,0.020791169
0.203921569,0.023194764
0.207843137,0.025584278
0.211764706,0.027958259
0.215686275,0.030315267
0.219607843,0.032653871
0.223529412,0.034972651
0.22745098,0.037270199
0.231372549,0.039545121
0.235294118,0.041796034
0.239215686,0.044021574
0.243137255,0.046220388
0.247058824,0.048391142
0.250980392,0.050532518
0.254901961,0.052643216
0.258823529,0.054721955
0.262745098,0.056767472
0.266666667,0.058778525
0.270588235,0.060753895
0.274509804,0.062692381
0.278431373,0.064592806
0.282352941,0.066454018
0.28627451,0.068274886
0.290196078,0.070054304
0.294117647,0.071791192
0.298039216,0.073484497
0.301960784,0.075133189
0.305882353,0.076736268
0.309803922,0.078292761
0.31372549,0.079801723
0.317647059,0.081262237
0.321568627,0.082673417
0.325490196,0.084034407
0.329411765,0.08534438
0.333333333,0.08660254
0.337254902,0.087808125
0.341176471,0.088960401
0.345098039,0.09005867
0.349019608,0.091102265
0.352941176,0.092090552
0.356862745,0.093022931
0.360784314,0.093898836
0.364705882,0.094717736
0.368627451,0.095479132
0.37254902,0.096182564
0.376470588,0.096827604
0.380392157,0.09741386
0.384313725,0.097940977
0.388235294,0.098408634
0.392156863,0.098816547
0.396078431,0.09916447
0.4,0.09945219
0.403921569,0.099679532
0.407843137,0.09984636
0.411764706,0.099952572
0.415686275,0.099998103
0.419607843,0.099982925
0.423529412,0.099907048
0.42745098,0.099770518
0.431372549,0.099573418
0.435294118,0.099315867
0.439215686,0.098998021
0.443137255,0.098620075
0.447058824,0.098182256
0.450980392,0.097684832
0.454901961,0.097128103
0.458823529,0.096512409
0.462745098,0.095838122
0.466666667,0.095105652
0.470588235,0.094315443
0.474509804,0.093467977
0.478431373,0.092563766
0.482352941,0.09160336
0.48627451,0.090587342
0.490196078,0.089516329
0.494117647,0.088390971
0.498039216,0.087211951
0.501960784,0.085979985
0.505882353,0.084695821
0.509803922,0.083360239
0.51372549,0.081974048
0.517647059,0.080538092
0.521568627,0.079053241
0.525490196,0.077520398
0.529411765,0.075940492
0.533333333,0.074314483
0.537254902,0.072643357
0.541176471,0.070928131
0.545098039,0.069169844
0.549019608,0.067369564
0.552941176,0.065528385
0.556862745,0.063647424
0.560784314,0.061727822
0.564705882,0.059770746
0.568627451,0.057777383
0.57254902,0.055748944
0.576470588,0.05368666
0.580392157,0.051591783
0.584313725,0.049465584
0.588235294,0.047309356
0.592156863,0.045124406
0.596078431,0.042912061
0.6,0.040673664
0.603921569,0.038410575
0.607843137,0.036124167
0.611764706,0.033815827
0.615686275,0.031486959
0.619607843,0.029138975
0.623529412,0.0267733
0.62745098,0.024391372
0.631372549,0.021994636
0.635294118,0.019584547
0.639215686,0.017162568
0.643137255,0.01473017
0.647058824,0.012288829
0.650980392,0.009840028
0.654901961,0.007385253
0.658823529,0.004925994
0.662745098,0.002463745
0.666666667,1.22E-17
0.670588235,-0.002463745
0.674509804,-0.004925994
0.678431373,-0.007385253
0.682352941,-0.009840028
0.68627451,-0.012288829
0.690196078,-0.01473017
0.694117647,-0.017162568
0.698039216,-0.019584547
0.701960784,-0.021994636
0.705882353,-0.024391372
0.709803922,-0.0267733
0.71372549,-0.029138975
0.717647059,-0.031486959
0.721568627,-0.033815827
0.725490196,-0.036124167
0.729411765,-0.038410575
0.733333333,-0.040673664
0.737254902,-0.042912061
0.741176471,-0.045124406
0.745098039,-0.047309356
0.749019608,-0.049465584
0.752941176,-0.051591783
0.756862745,-0.05368666
0.760784314,-0.055748944
0.764705882,-0.057777383
0.768627451,-0.059770746
0.77254902,-0.061727822
0.776470588,-0.063647424
0.780392157,-0.065528385
0.784313725,-0.067369564
0.788235294,-0.069169844
0.792156863,-0.070928131
0.796078431,-0.072643357
0.8,-0.074314483
0.803921569,-0.075940492
0.807843137,-0.077520398
0.811764706,-0.079053241
0.815686275,-0.080538092
0.819607843,-0.081974048
0.823529412,-0.083360239
0.82745098,-0.084695821
0.831372549,-0.085979985
0.835294118,-0.087211951
0.839215686,-0.088390971
0.843137255,-0.089516329
0.847058824,-0.090587342
0.850980392,-0.09160336
0.854901961,-0.092563766
0.858823529,-0.093467977
0.862745098,-0.094315443
0.866666667,-0.095105652
0.870588235,-0.095838122
0.874509804,-0.096512409
0.878431373,-0.097128103
0.882352941,-0.097684832
0.88627451,-0.098182256
0.890196078,-0.098620075
0.894117647,-0.098998021
0.898039216,-0.099315867
0.901960784,-0.099573418
0.905882353,-0.099770518
0.909803922,-0.099907048
0.91372549,-0.099982925
0.917647059,-0.099998103
0.921568627,-0.099952572
0.925490196,-0.09984636
0.929411765,-0.099679532
0.933333333,-0.09945219
0.937254902,-0.09916447
0.941176471,-0.098816547
0.945098039,-0.098408634
0.949019608,-0.097940977
0.952941176,-0.09741386
0.956862745,-0.096827604
0.960784314,-0.096182564
0.964705882,-0.095479132
0.968627451,-0.094717736
0.97254902,-0.093898836
0.976470588,-0.093022931
0.980392157,-0.092090552
0.984313725,-0.091102265
0.988235294,-0.09005867
0.992156863,-0.088960401
0.996078431,-0.087808125
1,-0.08660254
